objectid,title,filename,format,creator,date,datecreated,description,subject,location,county,latitude,longitude,source,type,rights,creativecommons,citation,archivedpage
waldport_highway101_1967,Hwy 101,waldport_highway101_1967.jpg,image/jpeg,Unknown,1967,1967,No description given.,public; highways,Oregon Coast,Lincoln County,44.281021,-124.109498°,"<a href=""https://oregondigital.org/concern/images/5t34sj71x""target=""_blank"">The Siuslaw National Forest Collection - Oregon State University</a>",Image;StillImage,In Copyright,,"View from top of Cape of Visitor Center and Highway 101, Unknown. 1967, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/5t34sj71x",https://web.archive.org/web/20230521202536/https://oregondigital.org/concern/images/5t34sj71x
portland_bensonhotel_1880,Benson Hotel,portland_bensonhotel_1880.jpg,image/jpeg,Angelus Studio,1880,1880/1949,"Broadway and Oak, Portland. Shell Gasoline Station in lower right corner",public; hotels,"Portland, Oregon",Multnomah County,45.521494,-122.678693,"<a href=""https://oregondigital.org/concern/images/df71g647q?locale=en""target=""_blank"">Angelus Studio photographs, 1880s-1940s - University of Oregon</a>",Image;StillImage,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Benson Hotel, Portland, OR., Angelus Studio. 1880/1949, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df71g647q?locale=en",https://web.archive.org/web/20230521202818/https://oregondigital.org/concern/images/df71g647q?locale=en
newport_yaquinabaylighthouse_2015,Yaquina Lighthouse,newport_yaquinabaylighthouse_2015.jpg,image/jpeg,Unknown,1900,1900,Yaquina Head lighthouse tower,public; lighthouses,"Newport, Oregon",Lincoln County,44.676752,-124.079568,"<a href=""https://oregondigital.org/concern/images/df65vx57n""target=""_blank"">Lincoln County Historical Society Archive - Oregon State University</a>",Image;StillImage,In Copyright,,"Yaquina Head Lighthouse, Newport OR, Unknown. 1900, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df65vx57n",https://web.archive.org/web/20230521203039/https://oregondigital.org/concern/images/df65vx57n
salem_elsinoretheatre_1926,Elsinore Theater,salem_elsinoretheatre_1926.jpg,image/jpeg,"Lawrence, Holford; Lawrence, Ellis Fuller; Holford, William",1926,1926,"National Register of Historic Places (Listed, 1994)",public; theater,"Salem, Oregon",Marion County,44.938919,-123.037369,"<a href=""https://oregondigital.org/concern/images/df67j121m?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image;StillImage,In Copyright - Educational Use Permitted,,"Elsinore Theatre (Salem, Oregon), Holdford et al. 1926, Univestiry of Oregon, Eugene, Oregon. Oregon Digital, ""Building Oregon,"" https://oregondigital.org/concern/images/df67j121m?locale=en",https://web.archive.org/web/20230521203745/https://oregondigital.org/concern/images/df67j121m?locale=en
salem_thomaskaywoolenmill_1898,Woolen Mill,salem_thomaskaywoolenmill_1898.jpg,image/jpeg,"Pugh, Walter D.",1898,1898,"This image is included in Building Oregon: Architecture of Oregon and the Pacific Northwest, a digital collection which provides documentation about the architectural heritage of the Pacific Northwest.",public; mills,"Salem, Oregon",Marion County,44.934955,-123.027134,"<a href=""https://oregondigital.org/concern/images/df67gx970""target=""_blank"">Building Oregon - University of Oregon</a>",Image;StillImage,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Thomas Kay Woolen Mill (Salem, Oregon), Pugh, Walter D. 1898, University or Oregon, Eugene. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67gx970",https://web.archive.org/web/20230521205156/https://oregondigital.org/concern/images/df67gx970
